2,Thriller e Suspense
1,Terror
3,Humor
4,Adulto novo
5,Arte e Fotografia
6,Autoajuda
7,Ação e Aventura
8,Biografia
9,Conto
10,Crimes reais
11,Distopia
12,Ensaios
13,Fantasia
14,Ficção científica
15,Ficção Contemporânea
16,Ficção feminina
17,Ficção Histórica
18,Ficção policial
19,Gastronomia
20,Graphic Novel
21,Guias & como fazer
22,História
23,Humanidades e Ciências sociais
27,Infantil
28,Jovem adulto
29,Memórias e autobiografia
30,Paternidade e família
31,Realismo mágico
32,Religião e espiritualidade
33,Romance
34,Tecnologia e ciência
35,Viagem
